ds,dep_var,trend,season,weekday,holiday,boolean_value_3,boolean_value_5,boolean_value_6,boolean_value_7,boolean_value_8,boolean_value_10,boolean_value_12,boolean_value_13,boolean_value_14,boolean_value_16,boolean_value_18,boolean_value_19,covid.19.Infected.person_1,weather_Average.temperature..._1,weather_Total.precipitation.mm._1,weather_Daylight.hours..hours._1,Complementary.goods_1,Complementary.goods_2,Complementary.goods_3,Influencer_Post,price_16,Event,macroeconomic_indicators_1,macroeconomic_indicators_4,macroeconomic_indicators_13,macroeconomic_indicators_14,consecutive_holidays_1,consecutive_holidays_2,consecutive_holidays_3,consecutive_holidays_4,consecutive_holidays_5,consecutive_holidays_6,consecutive_holidays_7,consecutive_holidays_8,consecutive_holidays_9,consecutive_holidays_10,consecutive_holidays_11,consecutive_holidays_12,boolean_value_S_1,Influencer_big_fix_S,Influencer_small_fix_S,Yahoo_S,Yahoo_other_S,Twitter_S,Google_other_S,FB_undefined_S,FB_o36_similar_S,FB_anotherproduct_S,FB_male_other_S,FB_female_other_S,Google_listing_S,Google_Proslisting_S,Google_undefined_S,Google_youtube_S,Google_display_S,PR_I,Google_trends_1,Referral_P_1,Twitter_scrolling_increment_1,intercept,depVarHat,solID
2021/12/5,96,96.46752503,-2.832123354,12.22774447,0,0,11.51756438,0,0.406362754,0,21.1469573,0,-1.535684875,0,-23.20773794,15.86809588,24.60869904,0.005906635,3.748463942,0,5.559684136,2.043033857,1.000187004,-5.558015753,-3.652756699,-116.9459878,3.250235411,-37.6933578,-1336.770087,57.25549138,1109.811487,22.88917061,22.42648535,0,0,17.89735273,0,-6.011017247,2.417390184,22.66265311,-1.814211524,12.95424099,-3.15031606,0,0,0,0,1.37E-182,0,7.996348539,1.013422003,0.021214814,0,27.06195193,1.408120738,0,2.301264095,0,1.09E-228,0,0,10.90248518,1.67234696,18.35064366,82.48113338,80.20236556,4_1114_7
2021/12/6,39,96.39453853,-2.169381408,-2.19206083,0,0,11.51756438,0,0.406362754,0,21.1469573,0,-1.535684875,0,-23.20773794,15.86809588,24.60869904,0.001575103,3.879224312,0,0,1.870383108,1.07427493,-5.955016878,0,-116.9459878,3.250235411,-37.6933578,-1336.770087,57.25549138,1109.811487,22.88917061,22.42648535,0,0,17.89735273,0,-6.011017247,2.417390184,22.66265311,-1.814211524,12.95424099,-3.15031606,0,0,0,0,1.65E-184,0,7.360170115,1.019350895,0.012540165,0,27.52329804,1.349642007,0,1.789107194,0,5.96E-231,0,0,13.75072147,1.706529833,10.89831479,82.48113338,58.77812974,4_1114_7
2021/12/7,46,96.32155202,-1.615668917,-2.675232238,0,0,11.51756438,0,0.406362754,0,21.1469573,0,-1.535684875,0,-23.20773794,15.86809588,24.60869904,0.005906635,5.143241223,0.302716284,0,1.784057734,1.000187004,-6.15351744,0,-116.9459878,3.250235411,-37.6933578,-1336.770087,57.25549138,1109.811487,22.88917061,22.42648535,0,0,17.89735273,0,-6.011017247,2.417390184,22.66265311,-1.814211524,12.95424099,-3.15031606,0,0,0,0,1.95E-186,0,6.290934311,1.021906803,0.007261193,0,27.72623675,1.294181885,0,1.347223773,0,3.19E-233,0,0,12.74759393,1.656625905,36.60341399,82.48113338,83.27353921,4_1114_7
2021/12/8,27,96.24856551,-1.181731388,-0.24424701,0,0,11.51756438,0,0.406362754,0,21.1469573,0,-1.535684875,0,-23.20773794,15.86809588,24.60869904,0.008663065,4.140745052,1.163067828,0,2.014258732,0.666791336,-3.573010127,-1.217585566,-116.9459878,3.250235411,-37.6933578,-1336.770087,57.25549138,1109.811487,22.88917061,22.42648535,0,0,17.89735273,0,-6.011017247,2.417390184,22.66265311,-1.814211524,12.95424099,-3.15031606,0,0,0,0,2.24E-188,0,5.447098348,1.025019566,0.004118033,0,27.56881206,1.242236091,0,0.981952387,0,1.67E-235,0,0,8.850018308,1.629269881,30.13480087,82.48113338,75.37376134,4_1114_7
2021/12/9,63,96.17557901,-0.874947816,-4.161504403,0,0,11.51756438,0,0.406362754,0,21.1469573,0,-1.535684875,0,-23.20773794,15.86809588,24.60869904,0.010238167,4.445852582,0,5.481378725,1.841607984,0.814967188,-4.764013502,0,-116.9459878,3.250235411,-37.6933578,-1336.770087,57.25549138,1109.811487,22.88917061,22.42648535,0,0,17.89735273,0,-6.011017247,2.417390184,22.66265311,-1.814211524,12.95424099,-3.15031606,0,0.036345196,0,0,2.51E-190,0,5.464146675,1.023873578,0.00228705,0,27.46943024,1.193424983,0,0.69262159,0,8.58E-238,0,0,10.07987871,1.511939484,46.48768484,82.48113338,93.39570865,4_1114_7
2021/12/10,76,96.1025925,-0.699286413,-6.450660376,0,0,11.51756438,0,0.406362754,0,21.1469573,0,-1.535684875,0,-23.20773794,15.86809588,24.60869904,0.006300411,3.748463942,0,3.758659697,1.985483607,0.703835299,-3.176009001,0,-116.9459878,3.250235411,-37.6933578,-1336.770087,57.25549138,1109.811487,22.88917061,22.42648535,0,0,17.89735273,0,-6.011017247,2.417390184,22.66265311,-1.814211524,12.95424099,-3.15031606,0,0.111523738,0,0,2.75E-192,0,5.50775863,1.016186766,0.001243622,0,27.32110629,1.148446913,0,0.472820082,0,4.31E-240,0,0,14.52745827,1.387664588,54.21665507,82.48113338,102.155162,4_1114_7
2021/12/11,186,96.029606,-0.655343861,3.495960392,0,0,11.51756438,0,0.406362754,0,21.1469573,0,-1.535684875,0,-23.20773794,15.86809588,24.60869904,0.00905684,4.097158262,0,6.969181522,2.014258732,1.148362856,-5.558015753,-2.435171133,-116.9459878,3.250235411,-37.6933578,-1336.770087,57.25549138,1109.811487,22.88917061,22.42648535,0,0,17.89735273,0,-6.011017247,2.417390184,22.66265311,-1.814211524,12.95424099,-3.15031606,0,14.44552081,0,0,2.94E-194,0,6.59677759,0.997259668,0.000661988,0,27.32886784,1.106808917,0,0.312459826,0,2.12E-242,0,0,20.55126388,1.402560808,55.97886066,82.48113338,134.3010142,4_1114_7
2021/12/12,301,95.95661949,-0.740464255,12.22774447,0,0,11.51756438,0,0.406362754,0,21.1469573,0,-1.535684875,0,-23.20773794,15.86809588,24.60869904,0.005119084,4.925307273,0,5.089851674,1.668957235,0.926099077,-5.558015753,0,-116.9459878,3.250235411,-37.6933578,-1336.770087,57.25549138,1109.811487,22.88917061,22.42648535,0,0,17.89735273,0,-6.011017247,2.417390184,22.66265311,-1.814211524,12.95424099,-3.15031606,0,99.54183645,0,0,3.07E-196,0,5.525419421,1.012538127,0.000344894,0,27.39527318,1.070456012,0,0.199940762,0,1.02E-244,0,0,18.40655514,1.496190648,85.94590863,82.48113338,255.5605999,4_1114_7
2021/12/13,124,95.88363298,-0.948931975,-2.19206083,0,0,11.51756438,0,0.406362754,0,21.1469573,0,-1.535684875,0,-23.20773794,15.86809588,24.60869904,0.003543981,4.227918632,0,6.969181522,2.215684605,0.96314304,-3.771510689,0,-116.9459878,3.250235411,-37.6933578,-1336.770087,57.25549138,1109.811487,22.88917061,22.42648535,0,0,17.89735273,0,-6.011017247,2.417390184,22.66265311,-1.814211524,12.95424099,-3.15031606,0,67.98038989,0,0,3.12E-198,0,5.387323099,1.019798439,0.000175841,0,27.42890424,1.038481018,0,0.123906162,0,4.79E-247,0,0,27.938924,1.565447747,40.87225724,82.48113338,177.1711273,4_1114_7
2021/12/14,116,95.81064648,-1.272231016,-2.675232238,0,0,11.51756438,0,0.406362754,0,21.1469573,0,-1.535684875,0,-23.20773794,15.86809588,24.60869904,0.011419494,2.222926291,0.175256796,0.626443283,1.611406986,0.777923225,-5.35951519,-2.435171133,-116.9459878,3.250235411,-37.6933578,-1336.770087,57.25549138,1109.811487,22.88917061,22.42648535,0,0,17.89735273,0,-6.011017247,2.417390184,22.66265311,-1.814211524,12.95424099,-3.15031606,0,43.61813395,0,0,3.09E-200,0,7.12286282,0.881611413,8.77E-05,0,27.44478694,0.999454193,0,0.074368103,0,2.21E-249,0,0,30.83225557,1.524539825,27.77447387,82.48113338,130.2313657,4_1114_7
